                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.40494,                0.45106,                0.45007,                0.96111,                0.99212,                      1,                  0.995,                  0.995,                0.99212,                      1,                  0.995,                0.91828,                 0.2477,                0.69979,                0.40182,                0.96664,             0.00074282,             0.00074282,             0.00074282
                     58,                0.39149,                 0.4005,                0.47801,                0.97913,                0.99182,                      1,                  0.995,                0.97904,                0.99182,                      1,                  0.995,                0.91391,                0.25358,                0.69529,                0.44494,                0.97581,             0.00072631,             0.00072631,             0.00072631
                     59,                0.36001,                0.41669,                0.45297,                0.92805,                0.98943,                      1,                  0.995,                0.92111,                0.98943,                      1,                  0.995,                0.89336,                   0.28,                0.73997,                 0.5125,                0.98792,             0.00070981,             0.00070981,             0.00070981
                     60,                0.41432,                0.44006,                0.47319,                 0.9528,                 0.9837,                      1,                  0.995,                0.88053,                 0.9837,                      1,                  0.995,                0.77428,                0.31144,                 1.3122,                 0.6266,                0.99754,             0.00069331,             0.00069331,             0.00069331
                     61,                0.39823,                0.40012,                0.51687,                0.93141,                0.99006,                      1,                  0.995,                0.88124,                0.99006,                      1,                  0.995,                0.75227,                0.29629,                 1.5743,                0.56706,                0.98562,              0.0006768,              0.0006768,              0.0006768
                     62,                0.40022,                0.41187,                 0.4641,                0.95424,                0.99176,                      1,                  0.995,                0.97337,                0.99176,                      1,                  0.995,                0.86076,                0.28775,                 1.0105,                0.46833,                0.98185,              0.0006603,              0.0006603,              0.0006603
                     63,                0.33457,                0.37471,                0.42317,                0.90685,                0.99201,                      1,                  0.995,                0.97621,                0.99201,                      1,                  0.995,                0.90759,                 0.2944,                0.71721,                0.46271,                0.99468,              0.0006438,              0.0006438,              0.0006438
                     64,                0.35218,                0.38544,                0.44948,                 0.9048,                0.99239,                      1,                  0.995,                0.95741,                0.99239,                      1,                  0.995,                0.97337,                0.32083,                0.43306,                 0.3931,                 1.0074,             0.00062729,             0.00062729,             0.00062729
                     65,                0.38685,                0.45018,                0.49134,                 0.9321,                0.99207,                      1,                  0.995,                0.95741,                0.99207,                      1,                  0.995,                0.97337,                0.33171,                0.37957,                0.38158,                 0.9965,             0.00061079,             0.00061079,             0.00061079
                     66,                0.34892,                0.40851,                0.42908,                0.94348,                0.99164,                      1,                  0.995,                0.95741,                0.99164,                      1,                  0.995,                 0.9454,                0.32612,                0.38077,                0.36932,                0.99171,             0.00059429,             0.00059429,             0.00059429
                     67,                0.38359,                0.45008,                0.42629,                0.94224,                0.99154,                      1,                  0.995,                0.95741,                0.99154,                      1,                  0.995,                0.93141,                0.30253,                0.36638,                0.35639,                0.97901,             0.00057778,             0.00057778,             0.00057778
                     68,                0.32768,                0.36348,                0.39871,                0.91961,                0.99127,                      1,                  0.995,                  0.995,                0.99127,                      1,                  0.995,                0.97904,                0.31601,                0.34036,                0.36517,                0.97783,             0.00056128,             0.00056128,             0.00056128
                     69,                0.37784,                0.56852,                0.45814,                0.92186,                0.99123,                      1,                  0.995,                0.96206,                0.99123,                      1,                  0.995,                0.96206,                0.31044,                0.34045,                0.36102,                0.97836,             0.00054478,             0.00054478,             0.00054478
                     70,                0.34845,                0.36184,                0.41025,                0.93394,                0.99135,                      1,                  0.995,                0.94327,                0.99135,                      1,                  0.995,                0.96206,                0.31091,                0.34302,                0.35377,                0.97818,             0.00052827,             0.00052827,             0.00052827
                     71,                0.36769,                  0.394,                0.43275,                0.94263,                0.99179,                      1,                  0.995,                0.93861,                0.99179,                      1,                  0.995,                0.96206,                0.29113,                0.35345,                0.31631,                0.96592,             0.00051177,             0.00051177,             0.00051177
                     72,                0.31936,                0.38027,                0.38412,                0.89049,                0.99232,                      1,                  0.995,                0.93861,                0.99232,                      1,                  0.995,                0.96206,                0.27255,                0.37764,                0.34251,                0.96317,             0.00049527,             0.00049527,             0.00049527
                     73,                0.34864,                0.37721,                0.41358,                0.94129,                0.99239,                      1,                  0.995,                0.94711,                0.99239,                      1,                  0.995,                0.96206,                0.26386,                0.35691,                0.31505,                0.96686,             0.00047876,             0.00047876,             0.00047876
                     74,                0.34598,                0.38055,                0.40236,                0.89734,                0.99265,                      1,                  0.995,                0.97904,                0.99265,                      1,                  0.995,                0.97337,                0.25886,                0.33773,                 0.2878,                0.97221,             0.00046226,             0.00046226,             0.00046226
                     75,                0.34012,                0.35978,                 0.4322,                0.93493,                0.99262,                      1,                  0.995,                0.97904,                0.99262,                      1,                  0.995,                0.97337,                0.25179,                0.31867,                0.29305,                0.97333,             0.00044576,             0.00044576,             0.00044576
                     76,                0.36354,                0.37752,                 0.4316,                0.92767,                0.99268,                      1,                  0.995,                  0.995,                0.99268,                      1,                  0.995,                  0.995,                 0.2313,                0.29752,                0.28945,                0.97098,             0.00042925,             0.00042925,             0.00042925
                     77,                0.37831,                0.42243,                0.40694,                0.92655,                 0.9927,                      1,                  0.995,                0.97904,                 0.9927,                      1,                  0.995,                  0.995,                0.23741,                0.29206,                 0.2763,                 0.9749,             0.00041275,             0.00041275,             0.00041275
                     78,                0.33771,                0.38613,                0.39872,                0.93187,                0.99265,                      1,                  0.995,                0.97904,                0.99265,                      1,                  0.995,                  0.995,                 0.2515,                0.29484,                0.27128,                0.98439,             0.00039625,             0.00039625,             0.00039625
                     79,                0.37093,                0.41855,                0.42989,                0.92201,                0.99252,                      1,                  0.995,                0.97904,                0.99252,                      1,                  0.995,                  0.995,                0.25731,                0.30226,                0.26727,                 1.0025,             0.00037974,             0.00037974,             0.00037974
                     80,                0.33912,                0.39234,                0.39852,                0.92448,                0.99232,                      1,                  0.995,                0.97904,                0.99232,                      1,                  0.995,                 0.9762,                0.24726,                0.31471,                0.28071,                 1.0127,             0.00036324,             0.00036324,             0.00036324
                     81,                0.31889,                0.36062,                0.38026,                0.90192,                0.99222,                      1,                  0.995,                0.96307,                0.99222,                      1,                  0.995,                 0.9762,                0.24944,                0.32069,                  0.292,                 1.0087,             0.00034674,             0.00034674,             0.00034674
                     82,                0.34244,                0.37623,                0.37036,                0.92621,                0.99192,                      1,                  0.995,                0.96308,                0.99192,                      1,                  0.995,                 0.9762,                0.25855,                0.33423,                0.28818,                 1.0101,             0.00033023,             0.00033023,             0.00033023
                     83,                0.35995,                0.37803,                0.39611,                0.94808,                 0.9918,                      1,                  0.995,                  0.995,                 0.9918,                      1,                  0.995,                0.97337,                0.25207,                0.34099,                 0.2962,                 1.0003,             0.00031373,             0.00031373,             0.00031373
                     84,                0.30629,                0.35387,                0.38292,                0.89971,                0.99172,                      1,                  0.995,                0.97904,                0.99172,                      1,                  0.995,                0.97337,                0.25062,                0.34696,                0.29336,                0.98211,             0.00029723,             0.00029723,             0.00029723
                     85,                0.34398,                0.37056,                0.38396,                 0.9315,                0.99173,                      1,                  0.995,                0.97904,                0.99173,                      1,                  0.995,                0.97621,                0.25749,                0.34448,                0.27103,                0.98153,             0.00028072,             0.00028072,             0.00028072
                     86,                0.27238,                0.32548,                0.34356,                 0.8791,                0.99171,                      1,                  0.995,                0.97904,                0.99171,                      1,                  0.995,                0.97621,                 0.2733,                0.33559,                0.25062,                0.98461,             0.00026422,             0.00026422,             0.00026422
                     87,                0.31263,                0.33569,                0.35251,                 0.9011,                0.99191,                      1,                  0.995,                0.97904,                0.99191,                      1,                  0.995,                0.97621,                0.27033,                0.32285,                0.26077,                0.97878,             0.00024772,             0.00024772,             0.00024772
                     88,                0.31235,                0.41167,                0.35559,                0.90883,                 0.9921,                      1,                  0.995,                0.97904,                 0.9921,                      1,                  0.995,                0.97337,                0.26873,                0.30326,                0.25513,                0.97709,             0.00023121,             0.00023121,             0.00023121
